User_ID,Name,Age,Country,Signup_Date,Email_Confirmed,Subscription_Type,Monthly_Spend,Churned
64,Alice,45,UK,2022-04-18,True,Basic,496.02,No
65,Bob,58,USA,2019-03-09,False,Premium,216.42,No
66,Eve,32,USA,2022-02-12,False,Premium,448.1,Yes
67,Bob,30,India,2021-11-15,True,Free,67.54,Yes
68,David,59,India,2023-05-02,False,Basic,1.72,Yes
69,David,34,Germany,2019-07-26,False,Enterprise,284.18,No
70,Grace,24,India,2019-03-14,False,Premium,493.69,Yes
71,David,45,UK,2022-07-06,True,Premium,281.18,No
72,Grace,55,Australia,2022-11-10,False,Premium,490.26,No
73,David,30,UK,2019-01-30,False,Premium,225.37,No
74,Eve,34,Germany,2022-12-15,False,Enterprise,191.02,Yes
75,Grace,32,Canada,2021-10-23,False,Free,464.79,No
76,Charlie,53,Canada,2023-03-25,False,Enterprise,24.4,No
77,Faythe,45,UK,2023-03-24,False,Enterprise,163.39,Yes
78,Alice,32,Canada,2020-06-04,True,Premium,221.75,Yes
79,David,28,Canada,2021-06-06,True,Premium,43.47,No
80,Bob,48,Germany,2020-02-05,False,Basic,258.55,No
81,David,21,Australia,2023-08-15,False,Free,187.65,Yes
82,Bob,52,India,2020-10-15,True,Free,218.49,No
83,Faythe,51,India,2021-08-07,False,Free,343.17,No
84,Faythe,44,Canada,2021-04-27,True,Basic,35.18,No
85,Faythe,27,USA,2022-07-21,False,Free,480.9,Yes
86,Bob,47,Germany,2023-02-04,True,Enterprise,261.22,No
87,David,37,Australia,2021-07-23,True,Premium,419.41,No
88,Faythe,46,Australia,2022-10-27,False,Enterprise,159.25,No
89,Eve,46,Canada,2020-03-06,False,Enterprise,156.76,Yes
90,Grace,40,USA,2020-06-22,False,Free,451.91,Yes
91,Bob,38,USA,2022-10-03,True,Premium,58.74,No
92,Bob,27,Australia,2019-03-12,True,Free,51.89,No
93,David,58,Germany,2023-02-14,True,Free,348.54,No
94,Bob,29,India,2023-10-21,True,Premium,233.01,No
95,Bob,47,Australia,2023-12-31,True,Basic,358.66,No
96,Faythe,50,Australia,2019-09-13,False,Basic,216.45,Yes
97,David,35,UK,2022-01-31,True,Basic,105.87,Yes
98,Faythe,31,USA,2019-05-27,True,Premium,357.62,Yes
99,Grace,39,UK,2021-06-20,False,Enterprise,19.53,Yes
100,Grace,38,UK,2020-10-31,False,Enterprise,223.98,No
101,Faythe,18,Germany,2019-05-20,True,Premium,229.33,Yes
102,Grace,32,Australia,2020-10-16,True,Free,38.96,No
103,David,53,India,2020-09-12,False,Free,120.82,Yes
104,Alice,39,Germany,2022-12-17,False,Premium,129.99,Yes
105,Faythe,49,USA,2021-05-20,True,Free,446.5,No
106,Eve,50,India,2019-03-05,True,Free,256.32,No
107,Eve,58,Australia,2022-07-18,False,Basic,335.38,No
108,Bob,56,Canada,2023-09-18,False,Premium,27.45,Yes
109,Grace,40,India,2021-05-17,False,Basic,51.74,No
110,Eve,19,Germany,2021-04-14,True,Enterprise,281.69,Yes
111,Bob,19,Germany,2020-05-27,True,Enterprise,417.56,No
112,Alice,55,UK,2021-10-27,True,Enterprise,26.49,No
113,David,46,Australia,2022-11-17,False,Enterprise,491.74,Yes
114,David,20,Canada,2021-10-21,True,Free,442.72,Yes
115,David,56,Australia,2022-07-08,True,Free,436.57,Yes
116,Eve,24,India,2019-02-16,False,Basic,4.34,Yes
117,Alice,53,Canada,2021-05-17,True,Premium,203.2,No
118,Eve,46,Australia,2021-02-16,True,Free,397.88,No
119,Grace,54,UK,2021-10-22,False,Premium,379.3,No
120,Eve,53,Canada,2020-06-18,False,Basic,172.82,Yes
121,Alice,40,Canada,2019-12-25,False,Enterprise,438.82,No
122,Alice,33,India,2023-02-09,True,Free,318.03,No
123,Grace,48,Canada,2022-12-16,True,Enterprise,496.98,No
124,Alice,51,UK,2021-03-25,True,Basic,167.36,No
125,Alice,18,USA,2020-08-18,True,Premium,321.77,Yes
126,David,35,USA,2019-07-23,False,Free,212.25,No
127,Grace,57,Germany,2021-08-28,True,Premium,323.78,Yes
128,Charlie,32,USA,2019-08-15,False,Premium,129.88,Yes
129,Charlie,34,India,2021-08-05,True,Enterprise,191.24,No
130,Alice,27,Germany,2023-11-23,False,Free,466.11,Yes
131,Charlie,37,USA,2021-03-27,False,Basic,144.53,Yes
132,Charlie,23,USA,2019-05-31,True,Free,310.35,No
133,Alice,25,Germany,2022-06-24,True,Premium,459.29,Yes
134,Charlie,51,India,2019-01-17,False,Enterprise,240.51,Yes
135,Eve,49,Germany,2019-10-31,False,Premium,347.55,No
136,Bob,59,India,2023-03-18,True,Premium,374.02,Yes
137,Grace,21,India,2022-05-05,False,Free,272.05,Yes
138,Bob,56,Australia,2023-01-09,True,Premium,189.45,No
139,Alice,37,UK,2022-09-26,True,Free,404.21,No
140,David,41,USA,2021-02-19,True,Free,277.06,No
141,Grace,41,Australia,2021-12-20,True,Premium,58.07,Yes
142,Alice,43,USA,2019-09-24,False,Enterprise,437.27,Yes
143,David,42,Australia,2022-01-25,False,Premium,148.72,Yes
144,Bob,53,Canada,2022-07-30,False,Enterprise,246.72,Yes
145,Alice,24,Germany,2022-06-24,False,Premium,106.9,No
146,Grace,27,Australia,2019-02-04,False,Basic,246.33,Yes
147,Grace,29,UK,2021-02-24,False,Basic,64.63,No
148,Faythe,18,USA,2023-02-01,True,Basic,283.13,Yes
149,Eve,42,Canada,2019-03-09,True,Premium,261.39,No
150,Charlie,33,UK,2019-07-08,False,Premium,409.21,No
151,David,22,India,2019-02-10,True,Enterprise,279.95,No
152,Faythe,36,USA,2020-08-30,True,Basic,204.37,No
153,Charlie,21,Australia,2020-11-13,False,Free,233.17,No
154,Charlie,23,Germany,2021-08-02,True,Basic,302.37,Yes
155,Alice,43,UK,2021-06-25,True,Basic,419.79,Yes
156,Charlie,56,Canada,2021-12-26,True,Free,20.87,Yes
157,Eve,56,Germany,2021-08-04,True,Basic,463.3,No
158,Grace,26,India,2022-08-24,True,Basic,41.94,Yes
159,Faythe,31,Germany,2022-02-16,True,Enterprise,172.35,Yes
160,Charlie,26,Canada,2021-05-02,False,Basic,168.09,No
161,Alice,32,India,2023-09-03,True,Free,265.87,Yes
162,Eve,54,Canada,2022-04-24,False,Free,177.33,Yes
163,Bob,37,USA,2021-08-31,True,Basic,109.64,Yes
164,Grace,25,Canada,2021-12-29,True,Premium,121.71,No
165,Grace,49,Germany,2021-10-07,False,Basic,492.65,Yes
166,Faythe,38,USA,2021-01-26,True,Free,418.32,Yes
167,Grace,58,USA,2023-08-22,False,Free,402.74,Yes
168,Charlie,36,UK,2021-10-03,True,Free,209.64,Yes
169,Alice,46,Germany,2022-07-31,False,Premium,468.09,No
170,Grace,48,Germany,2023-07-01,False,Premium,31.36,No
171,Grace,23,India,2020-07-01,True,Premium,62.66,Yes
172,Bob,21,Canada,2022-10-03,True,Basic,123.36,No
173,Bob,46,Australia,2021-07-03,False,Free,320.85,No
174,David,59,Canada,2022-05-03,False,Basic,83.43,Yes
175,Eve,20,Germany,2023-12-09,True,Basic,168.0,Yes
176,Charlie,18,Canada,2020-04-28,True,Premium,88.61,No
177,Grace,32,Germany,2020-08-10,True,Basic,399.83,Yes
178,Grace,38,USA,2022-07-27,False,Enterprise,454.59,No
179,Alice,48,Canada,2022-10-03,True,Premium,425.21,No
180,David,24,Canada,2023-06-04,False,Premium,13.66,Yes
181,Eve,34,Germany,2023-02-10,False,Free,158.6,No
182,David,36,Germany,2022-01-26,True,Enterprise,318.79,No
183,Faythe,56,India,2019-10-09,False,Enterprise,0.35,No
184,Eve,20,Canada,2020-09-21,False,Enterprise,373.18,Yes
185,Grace,47,UK,2020-02-23,False,Free,434.39,No
186,Grace,52,Germany,2019-08-11,True,Basic,38.79,Yes
187,Eve,46,UK,2022-06-29,False,Basic,215.61,Yes
188,Grace,31,USA,2019-03-21,True,Free,151.41,No
189,Charlie,52,USA,2021-04-05,True,Basic,473.47,Yes
190,Eve,45,UK,2020-11-12,False,Enterprise,162.37,Yes
191,David,47,Australia,2020-02-17,True,Free,290.47,No
192,Eve,43,USA,2023-08-20,True,Enterprise,4.53,No
193,Grace,24,UK,2022-11-17,True,Enterprise,418.3,No
194,Charlie,56,India,2019-11-30,True,Free,14.64,Yes
195,Charlie,48,India,2021-06-07,True,Premium,284.62,No
196,Faythe,22,USA,2022-09-13,False,Free,370.36,Yes
197,David,52,UK,2021-10-22,True,Free,198.31,No
198,Bob,31,UK,2022-05-11,True,Premium,15.83,No
199,Bob,53,UK,2019-09-15,True,Premium,450.36,No
200,Eve,44,Australia,2021-02-01,False,Enterprise,183.04,Yes
201,Faythe,41,USA,2022-10-22,True,Premium,233.08,Yes
202,Alice,57,Australia,2022-03-15,True,Premium,406.54,Yes
203,Eve,46,UK,2021-04-16,False,Enterprise,330.33,Yes
204,Faythe,39,Germany,2022-11-02,True,Enterprise,162.68,No
205,David,25,UK,2023-01-04,False,Enterprise,270.32,No
206,David,32,Germany,2020-03-30,True,Enterprise,46.98,Yes
207,David,22,India,2022-12-01,True,Free,240.58,No
208,David,21,Germany,2023-12-16,True,Enterprise,214.14,Yes
209,David,28,India,2019-01-19,False,Free,379.97,No
210,Faythe,35,USA,2021-08-11,False,Enterprise,400.0,No
211,Faythe,59,Australia,2021-09-05,False,Free,436.13,No
212,Charlie,47,Australia,2020-03-08,True,Free,428.62,No
213,Bob,32,India,2022-12-23,False,Free,499.17,No
214,Grace,23,India,2019-09-09,False,Free,353.73,Yes
215,David,33,UK,2021-03-06,False,Premium,310.36,No
216,Alice,57,Canada,2023-05-05,True,Free,73.59,No
217,Grace,26,India,2021-06-25,False,Premium,234.08,No
218,Faythe,51,Germany,2020-10-10,False,Premium,215.23,Yes
219,Alice,44,USA,2021-06-28,False,Free,367.3,No
220,Alice,30,Australia,2021-01-07,False,Enterprise,137.34,Yes
221,Alice,53,Germany,2019-08-09,True,Premium,435.42,Yes
222,Charlie,44,Australia,2019-04-23,False,Free,109.91,No
223,Faythe,26,USA,2022-03-18,False,Basic,241.79,No
224,Alice,22,Germany,2020-07-13,True,Premium,472.17,No
225,David,39,Australia,2021-12-17,False,Enterprise,171.99,No
226,Eve,48,India,2019-07-16,False,Basic,363.98,Yes
227,Alice,20,Canada,2023-10-27,True,Premium,167.81,No
228,Charlie,47,India,2023-07-31,True,Free,257.2,No
229,Grace,38,Australia,2023-09-27,False,Free,387.82,Yes
230,Faythe,52,UK,2023-10-08,True,Free,407.29,Yes
231,Charlie,23,Germany,2021-11-07,False,Free,421.25,No
232,Alice,45,Canada,2021-02-18,True,Enterprise,49.77,No
233,Faythe,49,Germany,2019-08-03,False,Enterprise,427.44,Yes
234,Eve,59,UK,2023-10-08,True,Premium,73.19,No
235,Alice,54,UK,2020-09-27,True,Free,136.41,Yes
236,Charlie,42,UK,2021-11-05,True,Basic,485.55,Yes
237,Bob,49,Australia,2020-11-07,False,Premium,72.11,Yes
238,David,52,India,2020-10-21,True,Basic,125.54,No
239,Grace,39,Australia,2023-12-17,False,Free,167.89,Yes
240,Charlie,41,India,2022-11-23,False,Free,403.1,Yes
241,Faythe,56,Canada,2019-08-21,True,Free,160.44,No
242,Alice,47,UK,2019-01-25,False,Premium,412.99,No
243,David,49,India,2022-11-25,False,Basic,102.8,Yes
244,Alice,48,USA,2023-12-09,False,Free,300.51,Yes
245,Faythe,40,USA,2022-10-20,False,Free,479.86,Yes
246,Alice,57,India,2021-07-26,False,Free,20.51,Yes
247,Bob,50,Canada,2022-08-11,False,Premium,454.28,No
248,David,42,Germany,2021-10-15,True,Premium,82.42,No
249,David,53,Australia,2022-12-31,False,Free,290.48,Yes
250,Faythe,41,UK,2019-03-12,False,Basic,24.4,Yes
251,Grace,48,India,2023-10-02,True,Free,285.65,No
252,Bob,56,Canada,2023-05-02,True,Premium,307.5,No
253,Charlie,30,Australia,2019-01-25,True,Free,403.83,No
254,Alice,27,Germany,2023-10-15,False,Enterprise,208.05,No
255,Eve,40,Canada,2022-10-29,True,Basic,457.87,No
256,Alice,35,Germany,2023-04-18,False,Enterprise,185.2,Yes
257,Alice,49,USA,2020-04-02,True,Premium,45.79,No
258,Charlie,50,Australia,2022-05-22,False,Enterprise,193.38,No
259,Alice,53,Australia,2019-07-30,False,Basic,153.13,No
260,Bob,45,Germany,2020-06-24,True,Basic,223.22,No
261,Bob,33,USA,2021-02-09,False,Enterprise,99.79,Yes
262,David,33,UK,2021-11-28,True,Free,185.17,Yes
263,Faythe,35,India,2022-07-07,False,Enterprise,443.12,No
264,Grace,25,USA,2020-11-07,True,Premium,326.23,No
265,Eve,59,Canada,2019-04-05,False,Enterprise,99.06,Yes
266,Alice,33,Germany,2022-11-14,True,Enterprise,26.44,No
267,Alice,28,Australia,2019-08-08,True,Premium,108.33,No
268,Charlie,23,Canada,2021-06-24,True,Enterprise,204.58,No
269,Faythe,18,Australia,2022-07-15,False,Enterprise,183.57,Yes
270,Bob,29,USA,2023-02-26,False,Premium,424.24,Yes
271,Eve,55,Australia,2023-07-12,True,Enterprise,292.99,Yes
272,David,45,Australia,2021-12-25,False,Enterprise,421.24,No
273,Bob,34,Australia,2022-11-11,False,Basic,499.44,Yes
274,Faythe,18,Australia,2019-07-12,True,Premium,145.17,No
275,Grace,49,Canada,2022-09-05,True,Basic,238.73,No
276,David,25,Germany,2023-04-20,True,Premium,352.78,Yes
277,Grace,57,India,2019-06-24,False,Free,255.88,Yes
278,Charlie,41,Canada,2019-04-22,False,Basic,163.41,No
279,Charlie,27,UK,2022-08-24,True,Free,408.1,No
280,Alice,56,Germany,2023-12-31,True,Enterprise,446.21,No
281,Grace,56,Germany,2022-09-25,False,Free,139.12,Yes
282,Faythe,27,UK,2022-01-08,True,Enterprise,140.73,No
283,Eve,53,USA,2023-02-10,False,Free,283.72,No
284,David,42,UK,2019-04-21,True,Enterprise,408.19,Yes
285,Bob,27,USA,2023-02-19,True,Enterprise,259.96,No
286,Faythe,36,India,2020-03-28,True,Free,30.02,No
287,Faythe,32,USA,2020-02-17,True,Basic,147.5,Yes
288,Charlie,33,India,2020-08-26,True,Premium,251.42,No
289,Grace,19,India,2021-08-17,False,Basic,368.34,No
290,Alice,46,Australia,2019-07-05,True,Free,387.47,Yes
291,Alice,21,Australia,2023-04-26,True,Enterprise,376.15,No
292,David,46,UK,2022-01-15,False,Free,47.41,No
293,Charlie,48,India,2022-06-01,True,Premium,308.0,Yes
294,Faythe,34,USA,2019-02-20,True,Free,212.72,Yes
295,Eve,27,Canada,2022-02-23,True,Basic,156.76,Yes
296,Charlie,44,Australia,2022-03-15,True,Enterprise,413.8,No
297,David,58,Germany,2021-11-30,True,Basic,179.19,No
298,David,32,Germany,2019-12-21,False,Enterprise,91.26,Yes
299,Charlie,48,USA,2023-01-08,False,Basic,347.87,Yes
300,David,38,Australia,2019-12-29,True,Basic,67.75,No
301,Charlie,58,Canada,2020-06-19,False,Free,146.94,Yes
302,Bob,43,India,2022-07-31,True,Premium,222.22,No
303,Charlie,55,Australia,2019-02-05,False,Basic,70.84,No
304,Grace,53,USA,2019-10-04,True,Free,143.66,No
305,Charlie,34,India,2023-09-16,True,Enterprise,320.81,No
306,David,20,Australia,2022-09-10,True,Enterprise,278.7,Yes
307,Grace,31,UK,2023-08-17,False,Basic,422.14,Yes
308,David,30,Canada,2021-10-06,False,Enterprise,70.45,No
309,Alice,58,Germany,2019-07-01,False,Premium,431.93,No
310,Alice,44,USA,2020-04-15,False,Free,37.81,Yes
311,Grace,18,Germany,2020-02-21,False,Basic,371.71,No
312,Bob,34,India,2023-08-17,False,Premium,103.45,Yes
313,Alice,51,India,2021-06-07,True,Free,451.55,No
314,Charlie,31,UK,2022-03-19,True,Free,20.78,No
315,David,34,India,2020-02-08,False,Basic,290.12,No
316,Alice,20,India,2020-05-28,True,Enterprise,6.41,Yes
317,Alice,51,Germany,2020-07-19,True,Free,368.02,No
318,Bob,57,Germany,2020-03-16,True,Free,16.87,Yes
319,Grace,42,USA,2022-06-23,False,Enterprise,363.58,Yes
320,Grace,19,USA,2021-09-18,False,Enterprise,404.26,No
321,Faythe,51,India,2021-12-05,False,Basic,447.76,Yes
322,Bob,43,Australia,2019-03-16,True,Basic,179.71,Yes
323,Charlie,48,Canada,2022-03-18,False,Free,271.26,No
324,Grace,26,USA,2020-02-10,True,Enterprise,366.76,No
325,David,47,India,2019-01-03,True,Basic,410.37,No
326,Bob,37,Australia,2021-10-29,True,Basic,391.42,No
327,Alice,38,Australia,2020-05-28,True,Enterprise,423.9,Yes
328,David,46,Germany,2022-06-15,True,Enterprise,448.82,Yes
329,David,42,Australia,2020-06-23,True,Free,325.16,No
330,Alice,55,UK,2019-10-17,False,Enterprise,86.99,Yes
331,Bob,42,Germany,2019-06-30,True,Basic,416.74,Yes
332,Alice,26,Germany,2022-08-31,True,Enterprise,231.64,No
333,Faythe,56,UK,2019-09-23,True,Premium,25.32,Yes
334,David,43,Germany,2019-03-24,True,Free,313.04,No
335,Eve,54,USA,2023-11-24,False,Enterprise,363.74,No
336,Eve,33,Germany,2019-09-15,True,Free,228.93,Yes
337,Charlie,54,UK,2023-05-03,False,Enterprise,253.33,No
338,Grace,29,India,2023-07-28,True,Premium,274.99,Yes
339,Alice,41,India,2021-08-07,False,Basic,126.25,Yes
340,Alice,43,India,2019-07-18,False,Basic,186.99,Yes
341,Charlie,37,UK,2022-08-08,False,Basic,403.44,Yes
342,Charlie,26,UK,2020-10-09,True,Free,14.96,Yes
343,Charlie,40,USA,2022-01-11,False,Basic,278.45,No
344,David,56,UK,2019-09-23,True,Basic,15.89,Yes
345,Faythe,46,Australia,2022-12-11,False,Free,100.82,No
346,Alice,48,India,2021-09-23,False,Free,186.45,Yes
347,David,36,UK,2021-05-19,True,Basic,93.22,Yes
348,Charlie,37,Canada,2020-12-31,False,Enterprise,424.26,Yes
349,Alice,40,Germany,2021-05-10,True,Premium,435.1,Yes
350,David,44,USA,2019-01-19,True,Free,76.51,No
351,Faythe,47,India,2023-04-03,True,Premium,446.17,Yes
352,David,38,Australia,2020-01-06,False,Premium,115.0,No
353,Faythe,52,Australia,2023-09-11,False,Free,6.07,No
354,Charlie,24,India,2021-11-12,False,Premium,368.42,No
355,Faythe,39,Australia,2022-11-09,False,Enterprise,259.12,Yes
356,Alice,27,Canada,2023-11-15,False,Basic,249.2,Yes
357,Charlie,40,USA,2020-09-10,True,Enterprise,1.35,No
358,Alice,32,Germany,2020-10-04,False,Premium,489.27,Yes
359,Eve,47,USA,2023-03-26,True,Basic,416.29,No
360,Bob,51,USA,2020-01-14,False,Free,483.72,Yes
361,Faythe,30,India,2023-10-01,False,Enterprise,121.84,Yes
362,Bob,21,UK,2021-03-27,True,Basic,301.84,Yes
363,Bob,35,Germany,2021-04-03,True,Free,373.37,Yes
364,Faythe,40,USA,2019-03-31,True,Enterprise,401.67,Yes
365,Charlie,50,Canada,2019-05-24,False,Enterprise,390.87,Yes
366,Eve,51,India,2020-09-12,False,Enterprise,286.16,No
367,Alice,51,UK,2021-05-13,True,Enterprise,15.8,Yes
368,David,53,UK,2019-07-23,True,Premium,496.99,No
369,Alice,52,India,2023-04-29,False,Free,57.44,Yes
370,David,34,USA,2023-03-24,True,Basic,90.41,No
371,Alice,45,Australia,2022-11-16,True,Free,412.22,No
372,Faythe,31,India,2022-08-17,True,Premium,50.29,No
373,Eve,51,Australia,2023-03-09,False,Premium,106.68,Yes
374,David,28,UK,2021-05-14,False,Basic,10.15,Yes
375,Grace,30,UK,2019-06-02,False,Basic,78.34,No
376,Charlie,50,Canada,2020-06-12,True,Free,329.48,No
377,Alice,19,Canada,2019-12-05,True,Enterprise,180.27,No
378,Alice,51,UK,2021-01-18,False,Basic,67.57,No
379,David,46,Canada,2023-03-16,False,Free,132.0,No
380,Charlie,54,Canada,2022-09-20,True,Basic,376.84,Yes
381,Charlie,21,Canada,2023-03-13,False,Premium,278.42,No
382,Faythe,29,UK,2021-12-15,True,Premium,238.02,Yes
383,Grace,43,USA,2020-07-09,False,Enterprise,23.33,No
384,Faythe,45,USA,2021-01-22,False,Enterprise,255.86,Yes
385,Faythe,20,Germany,2021-07-19,False,Enterprise,240.76,Yes
386,Faythe,37,Canada,2020-07-04,False,Enterprise,221.43,Yes
387,Faythe,27,USA,2022-02-27,False,Basic,243.75,No
388,Faythe,35,Germany,2019-04-08,False,Free,37.15,No
389,Eve,44,India,2021-03-03,True,Premium,466.51,No
390,Charlie,48,Canada,2020-02-26,True,Free,153.07,No
391,Faythe,44,USA,2019-03-21,True,Premium,326.26,No
392,Charlie,59,USA,2019-10-15,False,Basic,179.49,No
393,Charlie,18,Australia,2021-04-26,False,Basic,163.97,Yes
394,Bob,23,USA,2023-11-05,False,Enterprise,362.5,No
395,Eve,28,Australia,2019-06-18,True,Basic,209.39,No
396,Faythe,51,Germany,2022-01-07,False,Premium,307.94,No
397,Alice,56,Australia,2019-03-12,True,Enterprise,137.11,No
398,David,37,India,2019-09-20,False,Basic,132.73,No
399,Grace,38,Canada,2020-12-12,True,Basic,99.53,Yes
400,Alice,38,USA,2020-12-23,True,Basic,150.46,Yes
401,Eve,35,UK,2020-06-13,True,Free,32.45,No
402,David,38,Canada,2021-02-23,False,Basic,38.9,Yes
403,Eve,36,UK,2019-07-29,True,Free,426.45,No
404,Charlie,21,Germany,2019-04-27,False,Enterprise,139.93,No
405,David,30,USA,2020-09-07,True,Free,269.17,Yes
406,Charlie,35,Canada,2022-01-05,True,Premium,248.21,Yes
407,Alice,46,Canada,2019-11-11,False,Basic,317.1,No
408,Alice,42,USA,2019-01-11,True,Enterprise,323.97,Yes
409,David,30,India,2021-12-10,True,Premium,183.39,No
410,David,44,Germany,2021-10-27,False,Basic,66.72,No
411,Faythe,36,USA,2021-08-12,True,Free,88.71,Yes
412,Eve,18,Australia,2023-04-22,True,Premium,179.66,Yes
413,Faythe,55,Canada,2019-09-18,True,Free,280.05,Yes
414,Eve,36,India,2023-05-17,True,Basic,307.12,Yes
415,Faythe,18,Canada,2023-03-16,True,Premium,466.18,No
416,Charlie,57,UK,2019-07-19,True,Basic,152.61,Yes
417,David,34,Canada,2019-11-26,False,Premium,54.65,No
418,Alice,38,Germany,2019-03-31,True,Basic,268.83,Yes
419,Eve,39,USA,2020-08-13,True,Free,33.3,No
420,Eve,32,Canada,2019-02-24,False,Enterprise,82.81,No
421,Alice,56,Australia,2022-05-29,True,Free,277.07,Yes
422,Faythe,56,UK,2019-04-02,False,Enterprise,462.24,No
423,Eve,49,UK,2023-05-29,True,Premium,97.77,No
424,Grace,21,USA,2019-02-25,True,Basic,181.25,Yes
425,Charlie,49,UK,2023-11-03,True,Basic,221.43,No
426,David,21,USA,2022-04-17,False,Free,476.75,Yes
427,Alice,18,Germany,2019-03-02,False,Enterprise,367.81,Yes
428,David,50,USA,2019-04-27,True,Enterprise,166.08,Yes
429,Grace,24,India,2020-08-12,True,Premium,135.68,No
430,Eve,26,UK,2019-08-24,True,Basic,259.25,No
431,Eve,18,UK,2019-02-02,False,Enterprise,190.69,No
432,Grace,33,Australia,2023-05-10,False,Enterprise,308.4,No
433,Alice,35,Canada,2022-06-20,True,Basic,267.38,No
434,Charlie,23,India,2021-02-24,False,Free,16.88,Yes
435,Bob,19,Canada,2022-01-02,False,Basic,37.24,Yes
436,Alice,26,USA,2019-01-21,False,Enterprise,67.02,No
437,Bob,21,Germany,2023-10-03,False,Free,325.37,Yes
438,Grace,40,Australia,2022-03-23,True,Premium,488.63,No
439,Faythe,25,UK,2022-07-01,False,Basic,226.31,Yes
440,Bob,56,Germany,2022-05-15,True,Basic,74.7,No
441,Charlie,42,USA,2022-03-18,True,Free,305.02,Yes
